date,transaction_id,amount,type,category,description
2023-01-01,TXN-202301-002,69975.66,revenue,product_sales,Industrial component sales - Batch 2023-01-B
2023-01-01,TXN-202301-004,38511.55,revenue,product_sales,Industrial component sales - Batch 2023-01-D
2023-01-01,TXN-202301-007,8500.0,expense,rent,"Monthly facility lease - 4200 Industrial Pkwy, Dayton OH"
2023-01-01,TXN-202301-017,1265.61,expense,insurance,Workers compensation and property insurance - monthly
2023-01-02,TXN-202301-009,13685.18,expense,cogs,Specialty fasteners and hardware
2023-01-04,TXN-202301-016,1773.12,expense,software,QuickBooks Online subscription
2023-01-05,TXN-202301-014,3645.22,expense,utilities,"Electric, gas, and water - Dayton facility"
2023-01-08,TXN-202301-003,10910.25,revenue,product_sales,Industrial component sales - Batch 2023-01-C
2023-01-12,TXN-202301-010,8163.25,expense,cogs,Cutting fluids and machine lubricants
2023-01-13,TXN-202301-013,11362.09,expense,cogs,Cutting fluids and machine lubricants
2023-01-14,TXN-202301-012,2419.37,expense,cogs,Raw steel and aluminum stock
2023-01-15,TXN-202301-005,35006.07,expense,payroll,Bi-weekly payroll - Period 1
2023-01-19,TXN-202301-001,15547.24,revenue,product_sales,Industrial component sales - Batch 2023-01-A
2023-01-20,TXN-202301-008,10021.83,expense,cogs,Cutting fluids and machine lubricants
2023-01-20,TXN-202301-015,2878.38,expense,marketing,Google Ads - industrial components campaign
2023-01-26,TXN-202301-011,3208.98,expense,cogs,Cutting fluids and machine lubricants
2023-01-28,TXN-202301-006,35006.07,expense,payroll,Bi-weekly payroll - Period 2
2023-02-01,TXN-202302-009,8500.0,expense,rent,"Monthly facility lease - 4200 Industrial Pkwy, Dayton OH"
2023-02-01,TXN-202302-019,1324.1,expense,insurance,Workers compensation and property insurance - monthly
2023-02-02,TXN-202302-018,1064.88,expense,software,Microsoft 365 Business Premium
2023-02-03,TXN-202302-013,3274.15,expense,cogs,Cutting fluids and machine lubricants
2023-02-04,TXN-202302-014,3134.4,expense,cogs,Specialty fasteners and hardware
2023-02-09,TXN-202302-004,46648.8,revenue,product_sales,Custom machined parts order
